TimeCreated,Id,MachineName,Username,TargetDomain,LogonType,FailureReason,Source_IP
17/06/2026 10:53:49 PM,4625,DESKTOP-2N2A2TE,Cerberus,DESKTOP-2N2A2TE,5,Negotiate,-
17/06/2026 10:52:46 PM,4625,DESKTOP-2N2A2TE,Administrator,-,3,NTLM,157.10.45.192
17/06/2026 10:52:36 PM,4625,DESKTOP-2N2A2TE,SUPPORT,-,3,NTLM,185.118.79.30
17/06/2026 10:52:33 PM,4625,DESKTOP-2N2A2TE,BACKUP,-,3,NTLM,45.238.132.70
17/06/2026 10:52:22 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:51:51 PM,4625,DESKTOP-2N2A2TE,USER1,-,3,NTLM,185.118.79.30
17/06/2026 10:51:50 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:51:18 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:51:06 PM,4625,DESKTOP-2N2A2TE,ADMIN1,-,3,NTLM,185.118.79.30
17/06/2026 10:50:44 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:50:40 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,45.238.132.70
17/06/2026 10:50:21 PM,4625,DESKTOP-2N2A2TE,STUDENT,-,3,NTLM,185.118.79.30
17/06/2026 10:50:13 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:49:40 PM,4625,DESKTOP-2N2A2TE,ADMINISTRATOR,-,3,NTLM,103.165.78.91
17/06/2026 10:49:40 PM,4625,DESKTOP-2N2A2TE,Administrator,-,3,NTLM,152.32.183.163
17/06/2026 10:49:39 PM,4625,DESKTOP-2N2A2TE,Administrator,-,3,NTLM,118.26.111.63
17/06/2026 10:49:35 PM,4625,DESKTOP-2N2A2TE,STUDENT1,-,3,NTLM,185.118.79.30
17/06/2026 10:49:30 PM,4625,DESKTOP-2N2A2TE,Administrator,-,3,NTLM,194.233.85.106
